Date,Season,Rank,Color,Description,
1117,OrdinaryTime,Memorial,White,"Elizabeth of Hungary, Rel",
1118,OrdinaryTime,Opt. Mem.,Green,"Dedication of Churches of Peter & Paul; Rose Philippine Duchesne, V",
1121,OrdinaryTime,Memorial,White,Presentation of Mary,
1122,OrdinaryTime,Memorial,Red,"Cecilia, V & M",
1123,OrdinaryTime,Opt. Mem.,Green,"Clement I, Po & M; Columban, Ab; Bl. Miguel Pro, P & M",
1124,OrdinaryTime,Memorial,Red,"Andrew Dung-Lac, P & M, and companions, Mm",
1130,OrdinaryTime,Feast,Red,"Andrew, Ap",
1203,Advent,Memorial,White,"Frances Xavier, P",
1204,Advent,Opt. Mem.,Purple,"John Damascene, P & D",
1206,Advent,Opt. Mem.,Purple,"Nicholas, B",
1207,Advent,Memorial,White,"Ambrose, B & D",
1209,Advent,Opt. Mem.,Purple,Bl. Juan Diego,
1211,Advent,Opt. Mem.,Purple,"Damasus I, Po",
1212,Advent,Feast,White,Our Lady of Guadalupe,
1213,Advent,Memorial,Red,"Lucy, V & M",
1214,Advent,Memorial,White,"John of the Cross, P & D",
1221,Advent,Opt. Mem.,Purple,"Peter Canisius, P & D",
1223,Advent,Opt. Mem.,Purple,John of Kanty,
1226,Christmas,Feast,Red,"Stephen, M",
1227,Christmas,Feast,White,"John, Ap and Evangelist",
1228,Christmas,Feast,Red,"Holy Innocents, Mm",
1229,Christmas,Opt. Mem.,White,"Thomas Becket, B & M",
1231,Christmas,Opt. Mem.,White,"Sylvester I, Po",
